Regne,Categorie,Nom_francais,Nom_latin,Presence_au_Quebec,Nom_anglais
Champignons,Champignons,Chancre du noyer cendré,Ophiognomonia clavigignenti-juglandacearum,Établie,Butternut canker
Champignons,Champignons,Chancre scléroderrien, race européenne,Gremmeniella abietina,Établie,Scleroderris canker
Champignons,Champignons,Flétrissure du chêne,Bretziella fagacearum,Absente,Oak wilt
Champignons,Champignons,Maladie corticale du hêtre,Neonectria faginata,Établie,Beech bark disease
Champignons,Champignons,Maladie du rond,Heterobasidion irregulare,Établie,Annosus root and butt rot
Champignons,Champignons,Maladie hollandaise de l’orme ,Ophiostoma novo-ulmi,Établie,Dutch elm disease
Champignons,Champignons,Rouille vésiculeuse du pin blanc,Cronartium ribicola,Établie,White pine blister rust
Faune,Autre,Méduse d’eau douce,Craspedacusta sowerbii,Établie ,Common freshwater jellyfish
Faune,Crustacés,Cladocère épineux,Bythotrephes longimanus,Établie ,Spiny water flea
Faune,Crustacés,Crabe chinois à mitaines,Eriocheir sinensis,Observation ponctuelle ,Chinese mitten crab
Faune,Crustacés,Crevette rouge sang,Hemimysis anomala,Établie,Bloody red shrimp
Faune,Crustacés,Écrevisse à taches rouges,Faxonius rusticus (ou Orconectes rusticus),Établie,Rusty crayfish
Faune,Crustacés,Écrevisse de Louisiane,Procambarus clarkii,Absente,Red swamp crayfish 
Faune,Crustacés,Écrevisse marbrée,Procambarus virginalis,Absente,Marbled crayfish
Faune,Crustacés,Petite crevette d’eau douce,Echinogammarus ischnus,Établie,Freshwater shrimp
Faune,Crustacés,Puce d’eau en hameçon,Cercopagis pengoi,Établie,Fishhook waterflea
Faune,Insectes,Agrile du frêne,Agrilus planipennis,Établie,Emerald Ash Borer
Faune,Insectes,Coccinelle asiatique,Harmonia axyridis,Établie,Asian ladybeetle
Faune,Insectes,Complexe de la spongieuse volante (anciennement spongieuse asiatique),Lymantria dispar asiatica, L. dispar japonica,Absente,Flighted Spongy Moth Complex
Faune,Insectes,Fulgore tacheté,Lycorma delicatula,Absente,Spotted lanternfly
Faune,Insectes,Longicorne asiatique / Longicorne étoilé,Anoplophora glabripennis,Absente,Asian long-horned beetle
Faune,Insectes,Longicorne brun des épinettes,Tetropium fuscum,Observation ponctuelle,Brown spruce longhorn beetle
Faune,Insectes,Longicorne des agrumes,Anoplophora chinensis,Absente,Citrus longhorned beetle
Faune,Insectes,Puceron lanigère de la pruche,Adelges tsugae,Absente,Hemlock woolly adelgid
Faune,Insectes,Scarabée japonais,Popillia japonica,Établie,Japanese beetle
